ratio = 7.897127613846115, flow_size = 1.787634MB
ratio = 3.108261159227182, flow_size = 0.079793MB
ratio = 2.1533283157718683, flow_size = 1.041789MB
ratio = 2.440510565559989, flow_size = 8.909916MB
ratio = 2.2519205178809054, flow_size = 1.756137MB
ratio = 3.5036239746538778, flow_size = 0.175575MB
ratio = 4.439961108410306, flow_size = 0.02342MB
ratio = 2.882629535803459, flow_size = 9.063005MB
ratio = 4.05817364098553, flow_size = 0.022753MB
ratio = 5.005666560523129, flow_size = 4.65781MB
ratio = 2.48969584269909, flow_size = 5.891599MB
ratio = 6.112137245470579, flow_size = 1.388581MB
ratio = 6.272316745113882, flow_size = 3.709467MB
ratio = 2.2235611884479534, flow_size = 0.015566MB
ratio = 3.819297730829421, flow_size = 0.144649MB
ratio = 4.703552454084815, flow_size = 3.782384MB
ratio = 2.479732485115407, flow_size = 0.193214MB
ratio = 2.1797596405917488, flow_size = 5.70175MB
ratio = 4.383001439848359, flow_size = 13.378481MB
ratio = 2.5125124394007177, flow_size = 2.513612MB
ratio = 11.335035573943602, flow_size = 1.278795MB
ratio = 4.887178461948554, flow_size = 0.079737MB
ratio = 7.923536843496824, flow_size = 7.840477MB
ratio = 2.0880335987283636, flow_size = 9.239973MB
ratio = 3.210795886297742, flow_size = 6.417291MB
ratio = 3.3838887066902, flow_size = 8.665671MB
ratio = 11.789803279783575, flow_size = 1.329215MB
ratio = 7.1321842476217805, flow_size = 1.313826MB
ratio = 5.083030133407967, flow_size = 0.028596MB
ratio = 5.010606516290727, flow_size = 1.090518MB
ratio = 4.134693203402428, flow_size = 0.045166MB
ratio = 7.028388278388278, flow_size = 0.05702MB
ratio = 5.917317427433725, flow_size = 3.52214MB
ratio = 2.781147474171133, flow_size = 9.265834MB
ratio = 2.3421938607107493, flow_size = 0.442803MB
ratio = 2.242212731599524, flow_size = 1.023452MB
ratio = 9.01681697972469, flow_size = 0.076645MB
ratio = 6.054921486020682, flow_size = 0.056462MB
ratio = 4.421690058216816, flow_size = 4.414254MB
ratio = 7.371757925072046, flow_size = 0.012493MB
ratio = 5.29959243669406, flow_size = 0.079254MB
ratio = 5.227212411596781, flow_size = 6.552361MB
ratio = 2.017993373817756, flow_size = 1.387594MB
ratio = 2.077995412034586, flow_size = 0.03595MB
ratio = 3.616766978272933, flow_size = 0.459606MB
ratio = 2.366580955292228, flow_size = 1.890729MB
ratio = 5.383799952106068, flow_size = 7.91983MB
ratio = 2.543342734154668, flow_size = 0.061458MB
ratio = 6.449040432271287, flow_size = 0.028795MB
ratio = 4.801072066706372, flow_size = 0.000899MB
ratio = 2.527958780325718, flow_size = 1.282756MB
ratio = 4.678895128415305, flow_size = 7.511023MB
ratio = 2.9873936444365583, flow_size = 1.312389MB
ratio = 3.9435586284746718, flow_size = 0.069826MB
ratio = 5.282730043177946, flow_size = 3.806795MB
ratio = 11.950307028229107, flow_size = 1.810117MB
ratio = 7.333835062980274, flow_size = 0.051296MB
ratio = 6.665017129805862, flow_size = 0.151405MB
ratio = 3.6950197476158366, flow_size = 0.024568MB
ratio = 3.7828931151519747, flow_size = 1.158845MB
ratio = 5.048389235052366, flow_size = 0.080688MB
ratio = 3.158777446761558, flow_size = 0.008857MB
ratio = 5.386521096700049, flow_size = 3.533253MB
ratio = 2.437489705155658, flow_size = 0.045578MB
ratio = 4.619919559695173, flow_size = 0.013431MB
ratio = 5.607598301996984, flow_size = 8.110897MB
ratio = 2.311837141433554, flow_size = 0.068304MB
ratio = 4.363908572991532, flow_size = 9.843279MB
ratio = 3.761368620619897, flow_size = 6.563144MB
ratio = 7.3568442886172445, flow_size = 3.348886MB
ratio = 4.401068460625248, flow_size = 0.021302MB
ratio = 9.475630723632623, flow_size = 1.558767MB
ratio = 8.950082153196151, flow_size = 0.053178MB
ratio = 4.4024781488202684, flow_size = 7.34751MB
ratio = 4.199314992818473, flow_size = 0.008709MB
ratio = 3.42385904301261, flow_size = 1.626978MB
ratio = 2.1077014243084804, flow_size = 2.155066MB
ratio = 6.281781672143118, flow_size = 0.06407MB
ratio = 2.6017888391989112, flow_size = 0.391492MB
ratio = 4.017507505848115, flow_size = 5.081169MB
ratio = 4.595466908098558, flow_size = 6.395616MB
ratio = 5.682845726705993, flow_size = 2.106761MB
ratio = 2.168069306930693, flow_size = 0.045303MB
ratio = 4.325942815315857, flow_size = 8.830394MB
ratio = 3.3096908039790978, flow_size = 4.022974MB
ratio = 9.423855122896551, flow_size = 4.719933MB
ratio = 9.897847697218422, flow_size = 1.208602MB
ratio = 3.547087215175665, flow_size = 0.056632MB
ratio = 4.2484076006809115, flow_size = 5.246938MB
ratio = 3.776470690827912, flow_size = 1.268524MB
ratio = 3.399094105070587, flow_size = 5.312175MB
ratio = 4.929194007880885, flow_size = 5.67007MB
ratio = 12.569454433976725, flow_size = 0.912318MB
ratio = 3.1724883278575136, flow_size = 0.038708MB
ratio = 5.645776751765345, flow_size = 0.07641MB
ratio = 3.7874639175257734, flow_size = 0.045366MB
ratio = 2.4608250526949713, flow_size = 0.09882MB
ratio = 5.774983004758668, flow_size = 0.041087MB
ratio = 3.5227673675678255, flow_size = 0.150926MB
ratio = 13.991318162736498, flow_size = 3.196601MB
ratio = 10.19165996621497, flow_size = 1.517675MB
ratio = 3.628766753620581, flow_size = 0.033339MB
ratio = 2.0948772250366803, flow_size = 1.624162MB
ratio = 3.829703882935822, flow_size = 0.004256MB
ratio = 6.2935025618847265, flow_size = 3.155091MB
ratio = 2.7608681665129646, flow_size = 0.456907MB
ratio = 2.334293132106556, flow_size = 3.193838MB
ratio = 9.182070939513537, flow_size = 1.792616MB
ratio = 7.877974454850034, flow_size = 1.98696MB
ratio = 3.6427654659022846, flow_size = 0.040124MB
ratio = 11.638170636082796, flow_size = 1.163275MB
ratio = 3.785337935775018, flow_size = 7.882746MB
ratio = 4.359609133329838, flow_size = 9.050053MB
ratio = 7.5233996322914924, flow_size = 0.04347MB
ratio = 2.061795656392268, flow_size = 0.060566MB
ratio = 2.0405585106382977, flow_size = 0.062187MB
ratio = 8.39839570474284, flow_size = 7.325027MB
ratio = 5.034220112885137, flow_size = 4.442001MB
ratio = 4.939540955498402, flow_size = 8.471046MB
ratio = 2.861652669466107, flow_size = 0.059825MB
ratio = 2.630882324567327, flow_size = 0.518952MB
ratio = 2.1761143903928355, flow_size = 0.18477MB
ratio = 3.885115415229504, flow_size = 0.035614MB
ratio = 2.261192400087355, flow_size = 0.009995MB
